,Industry,Position.to.be.closed,Interview.Type,Gender,Candidate.Current.Location,Candidate.Job.Location,Interview.Venue,Candidate.Native.location,Have.you.obtained.the.necessary.permission.to.start.at.the.required.time,Hope.there.will.be.no.unscheduled.meetings,Can.I.Call.you.three.hours.before.the.interview.and.follow.up.on.your.attendance.for.the.interview,Can.I.have.an.alternative.number..desk.number..I.assure.you.that.I.will.not.trouble.you.too.much,Have.you.taken.a.printout.of.your.updated.resume..Have.you.read.the.JD.and.understood.the.same,Are.you.clear.with.the.venue.details.and.the.landmark.,Has.the.call.letter.been.shared,Expected.Attendance,Observed.Attendance,Marital.Status
28,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,no,yes,yes,yes,no,yes,no,no,no,single
29,bfsi,aml,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
30,bfsi,aml,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
31,bfsi,aml,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
32,bfsi,aml,scheduledwalkin,female,chennai,chennai,chennai,coimbatore,yes,yes,yes,no,yes,yes,unknown,unknown,no,single
33,bfsi,aml,scheduledwalkin,male,chennai,chennai,chennai,trichy,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
34,bfsi,aml,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
35,bfsi,aml,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,no,yes,no,yes,no,no,married
36,bfsi,aml,scheduledwalkin,male,chennai,chennai,chennai,salem,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
37,bfsi,tradefinance,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
38,bfsi,tradefinance,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
39,bfsi,tradefinance,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
40,bfsi,tradefinance,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
41,bfsi,tradefinance,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,unknown,yes,no,no,married
42,bfsi,tradefinance,scheduledwalkin,female,chennai,chennai,chennai,tanjore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
43,bfsi,tradefinance,scheduledwalkin,female,chennai,chennai,chennai,trichy,yes,yes,yes,no,unknown,yes,yes,no,no,married
44,bfsi,tradefinance,scheduledwalkin,male,chennai,chennai,chennai,coimbatore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
45,bfsi,tradefinance,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
46,bfsi,tradefinance,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
47,bfsi,tradefinance,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,unknown,unknown,no,yes,married
48,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
49,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
50,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
51,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
52,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,mumbai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
53,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,trichy,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
54,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
55,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
56,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
57,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
58,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
59,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
60,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
61,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
62,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
63,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
64,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
65,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
66,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
67,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
68,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
69,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
70,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
71,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
72,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
73,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
74,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
75,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
76,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
77,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
78,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
79,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
80,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
81,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
82,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
83,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
84,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
85,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,unknown,no,no,married
86,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,unknown,yes,yes,yes,no,yes,yes,no,no,single
87,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,unknown,yes,yes,unknown,yes,yes,yes,no,no,single
88,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,unknown,yes,no,yes,no,no,single
89,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,unknown,yes,yes,yes,yes,no,yes,no,no,single
90,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,unknown,yes,yes,yes,yes,no,unknown,no,no,married
91,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
92,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
93,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,single
94,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
95,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
96,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
97,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,married
98,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
99,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
100,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
101,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
102,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
103,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
104,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
105,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
106,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
107,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
108,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
109,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
110,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
111,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
112,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
113,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
114,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
115,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
116,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
117,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
118,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,single
119,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
120,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
121,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,no,no,no,no,no,yes,yes,no,no,single
122,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
123,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
124,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,no,yes,no,no,NA,NA,unknown,unknown,yes,single
125,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,no,yes,yes,yes,no,no,unknown,no,no,single
126,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
127,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,no,yes,yes,yes,no,no,unknown,no,no,single
128,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
129,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
130,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
131,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
132,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
133,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
134,bfsi,niche,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
135,bfsi,niche,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
136,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,pune,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
137,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,mumbai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
138,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
139,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
140,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
141,bfsi,niche,scheduled,female,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
142,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,pune,yes,yes,yes,yes,yes,yes,yes,yes,no,single
143,bfsi,niche,scheduled,female,bangalore,bangalore,bangalore,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
144,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,kolkata,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
145,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
146,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
147,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
148,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
149,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
150,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
151,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
152,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
153,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
154,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
155,bfsi,niche,scheduled,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
156,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
157,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
158,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
159,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
160,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
161,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
162,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
163,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
164,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
165,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
166,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
167,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
168,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
169,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
170,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
171,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
172,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
173,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
174,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
175,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
176,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
177,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
178,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
179,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
180,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
181,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
182,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
183,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
184,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
185,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
186,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
187,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
188,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
189,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
190,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
191,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
192,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
193,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
194,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
195,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
196,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
197,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
198,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
199,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,married
200,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
